code,http_status,category,retryable,user_message_vi,description
AUTH_INVALID_CREDENTIALS,401,auth,0,Thông tin đăng nhập không hợp lệ.,Enumeration-safe login failure
AUTH_MFA_REQUIRED,401,auth,0,Cần xác thực hai lớp.,MFA challenge required
AUTH_MFA_INVALID,401,auth,0,Mã xác thực không hợp lệ.,Invalid/replayed MFA code
AUTH_TOKEN_EXPIRED,401,auth,1,Phiên truy cập đã hết hạn.,Access token expired; refresh may be possible. Spec alias AUTH_SESSION_EXPIRED maps to this code.
AUTH_REFRESH_REUSED,401,auth,0,Phiên đăng nhập đã bị thu hồi vì lý do bảo mật.,Refresh token reuse detected
AUTH_SESSION_REVOKED,401,auth,0,Phiên đăng nhập đã bị thu hồi.,Session/device revoked
AUTH_RECENT_AUTH_REQUIRED,403,auth,0,Vui lòng xác thực lại để tiếp tục.,Step-up/recent auth required
AUTH_OIDC_STATE_INVALID,401,auth,0,Phiên đăng nhập IdP không hợp lệ. Vui lòng thử lại.,OIDC state/nonce mismatch or missing (GAP-009)
AUTH_OIDC_EXCHANGE_FAILED,401,auth,0,Không thể hoàn tất đăng nhập IdP. Vui lòng thử lại.,Authorization code exchange failed at BFF (GAP-009)
AUTH_OIDC_PROVIDER_ERROR,401,auth,0,Nhà cung cấp đăng nhập từ chối hoặc báo lỗi.,IdP returned error= on callback (GAP-009)
CSRF_TOKEN_INVALID,403,auth,0,Yêu cầu bị từ chối vì thiếu hoặc sai mã bảo vệ CSRF.,Missing/mismatched X-CSRF-Token for cookie-session mutations
TENANT_INACTIVE,403,tenant,0,Không gian làm việc hiện không hoạt động.,Tenant suspended/closed
TENANT_CONTEXT_INVALID,401,tenant,0,Ngữ cảnh không gian làm việc không hợp lệ.,Token/session tenant mismatch
MEMBERSHIP_INACTIVE,403,tenant,0,Tài khoản không còn hoạt động trong không gian này.,Membership inactive
INVITATION_TOKEN_INVALID,409,tenant,0,Lời mời không hợp lệ hoặc đã hết hạn.,Invitation token missing/already accepted/revoked/expired — umbrella; prefer specific INVITE_* when known
INVITE_EXPIRED,409,tenant,0,Lời mời đã hết hạn.,Invitation past expires_at
INVITE_REVOKED,409,tenant,0,Lời mời đã bị thu hồi.,Invitation revoked by admin
