phase,task_id,title,deliverable_or_details,status,primary_paths
19.2 Phase P0,BE-P0-001,Xác nhận capacity/SLO/cost assumptions,NFR sign-off,Done,docs/p0/capacity-slo-cost-assumptions.md
19.2 Phase P0,BE-P0-002,Commit ADR-001…ADR-010,`docs/adr/*.md`,Done,docs/adr/
19.2 Phase P0,BE-P0-003,System context/data flow/trust boundary,diagrams + threat model seed,Done,docs/diagrams/;docs/threat-model/
19.2 Phase P0,BE-P0-004,ERD v1 và table classification,ERD/data dictionary,Done,docs/data/table-classification-seed.md
19.2 Phase P0,BE-P0-005,Permission matrix và default roles,CSV/seed plan,Done,backend_doc/matrices/permission_matrix.csv
19.2 Phase P0,BE-P0-006,State machine transition matrices,reviewed spec/tests outline,Done,docs/domain/state-machine-transition-matrices.md
19.2 Phase P0,BE-P0-007,OpenAPI/AsyncAPI skeleton + lint rules,contracts compile,Done,backend_doc/contracts/;packages/contracts-http/
19.2 Phase P0,BE-P0-008,Error/idempotency/audit/event catalogs,machine-readable catalogs,Done,backend_doc/matrices/error_catalog.csv
19.2 Phase P0,BE-P0-009,Environment/topology/release strategy,platform plan,Done,docs/release/environment-topology.md
19.2 Phase P0,BE-P0-010,Security/AI threat model P0,risks/mitigations/tests,Done,docs/threat-model/p0-threat-model.md
19.2 Phase P0,BE-P0-011,Epic decomposition và dependency board,implementation-ready backlog,Done,docs/p0/epic-dependency-board.md
19.3 Phase P1,BE-FND-001,Monorepo/bootstrap,"pnpm workspace, apps/packages/modules, strict TS, boundary lint",Done,package.json;modules/;eslint.config.mjs
19.3 Phase P1,BE-FND-002,Local stack,Docker Compose PostgreSQL/Redis/object emulator/OTel,Done,infra/docker/compose.yaml
19.3 Phase P1,BE-FND-003,Config package,"typed schema, fail-fast, secret redaction",Done,packages/config/
19.3 Phase P1,BE-FND-004,HTTP baseline,"Fastify/Nest, request/correlation ID, RFC9457 error, validation",Done,apps/api/
19.3 Phase P1,BE-FND-005,OpenAPI pipeline,"lint, docs, generated client/types/mock",Done,tools/validate-contracts.mjs;packages/contracts-http/
19.3 Phase P1,BE-FND-006,Database package,"Kysely/pg pool, transaction runner, statement timeout",In Progress,packages/database/
19.3 Phase P1,BE-FND-007,Migration framework,"role/schema/bootstrap, immutable migrations",Done,infra/migrations/
19.3 Phase P1,BE-FND-008,Tenant transaction/RLS test harness,"context setter, runtime DB role, deny-default tests",Done,packages/database/;infra/migrations/
19.3 Phase P1,BE-FND-009,Idempotency component,storage/service/interceptor + replay tests,Done,packages/idempotency/
19.3 Phase P1,BE-FND-010,Outbox/inbox component,"schema, publisher, consumer base, DLQ",Done,packages/outbox/
19.3 Phase P1,BE-FND-011,Queue/scheduler skeleton,"BullMQ queues, retry/lease/graceful shutdown",Done,apps/worker/;apps/scheduler/
19.3 Phase P1,BE-FND-012,Audit append port,"transaction-aware writer, redaction",Done,modules/audit/
19.3 Phase P1,BE-FND-013,Observability,"OTel logs/traces/metrics, health endpoints",Done,packages/observability/;apps/api/
19.3 Phase P1,BE-FND-014,CI/CD,"PR/main/staging pipeline, scans, SBOM/image signing",In Progress,.github/workflows/ci.yml
19.3 Phase P1,BE-FND-015,Staging infra,HA-appropriate managed dependencies baseline,Not Started,infra/;docs/release/
19.3 Phase P1,BE-FND-016,Walking skeleton,"`/health`, temporary authenticated test flow, DB/RLS/outbox trace",Done,modules/audit/;apps/api/;infra/migrations/
19.3 Phase P1,BE-FND-017,Audit module reference tests,permission-negative + write-path/redaction on walking skeleton; full 5-category suite,Done,modules/audit/
19.3 Phase P1,BE-FND-018,test-utils invariant helpers,createTenantIsolationFixture/assertCrossTenantDenied/replayIdempotencyKey/money helpers,Done,packages/test-utils/
19.4 Phase P2,BE-IDN-001,Create identity/tenant/membership/role/session/device schema + RLS,,Done,modules/identity/;modules/tenant/;infra/migrations/000005_identity_schema.sql
